versionId,engineId,fuelType,engineRef,cylinder,powerKw,powerCv,startYear,endYear
164,2,GASOLINE,1502,1.6,55.0,75.0,1975,1977
164,6398,GASOLINE,1600 Ti,1.6,77.0,105.0,1967,1969
164,6142,GASOLINE,1600/2,1.6,63.0,85.0,1967,1971
164,4,GASOLINE,1602,1.6,63.0,85.0,1971,1975
164,5,GASOLINE,1802,1.8,66.0,90.0,1971,1975
164,35606,GASOLINE,1802,1.8,76.0,103.0,1970,1971
164,6,GASOLINE,2002,2.0,74.0,100.0,1968,1975
164,6143,GASOLINE,2002 Ti,2.0,88.0,120.0,1968,1972
164,35619,GASOLINE,2002 Ti,2.0,97.0,132.0,1967,1971
164,8,GASOLINE,2002 Tii,0.0,96.0,130.0,1971,1975
164,9,GASOLINE,2002 Turbo,2.0,125.0,170.0,1974,1975
1608,6830,GASOLINE,1600-2,1.6,63.0,86.0,1967,1971
1608,7,GASOLINE,2002,2.0,74.0,100.0,1971,1975
1602,6075,GASOLINE,1600,0.0,63.0,85.0,1971,1973
1602,6076,GASOLINE,1802,0.0,66.0,90.0,1971,1975
1602,6077,GASOLINE,2002,0.0,74.0,100.0,1971,1975
1602,6078,GASOLINE,2002 Tii,0.0,96.0,130.0,1971,1975
37692,126152,GASOLINE,2.0,0.0,40.0,54.0,1950,1955
1642,8814,GASOLINE,2.1,0.0,53.0,73.0,1952,1959
37691,126143,GASOLINE,3.2,0.0,88.0,120.0,1954,1963
3390,6414,GASOLINE,3.2,0.0,103.0,140.0,1957,1961
37690,126137,GASOLINE,3.2 Touring Sport,0.0,110.0,150.0,1956,1959
4002,10584,GASOLINE,0.6,0.0,15.0,20.0,1957,1961
2054,16113,GASOLINE,0.7,0.0,22.0,30.0,1959,1966
2054,8815,GASOLINE,0.7 A,0.0,24.0,33.0,1959,1966
4805,16111,GASOLINE,0.7,0.0,24.0,33.0,1959,1964
4805,16112,GASOLINE,0.7 S,0.0,29.0,39.0,1959,1964
187,6393,GASOLINE,1500,0.0,59.0,80.0,1962,1966
187,6394,GASOLINE,1500,0.0,59.0,80.0,1963,1966
187,6395,GASOLINE,1600,0.0,61.0,83.0,1964,1968
187,35602,GASOLINE,1600,0.0,71.0,97.0,1963,1971
187,6400,GASOLINE,1800,0.0,66.0,90.0,1969,1971
187,35604,GASOLINE,1800,0.0,76.0,103.0,1965,1971
187,6399,GASOLINE,1800,1.8,66.0,90.0,1963,1969
187,6401,GASOLINE,1800 Ti,0.0,81.0,110.0,1963,1968
187,6402,GASOLINE,1800 Ti TISA,0.0,96.0,131.0,1963,1968
187,6403,GASOLINE,2000,0.0,66.0,90.0,1970,1972
187,10,GASOLINE,2000,0.0,74.0,100.0,1968,1972
187,35608,GASOLINE,2000,0.0,83.0,113.0,1965,1972
187,35613,GASOLINE,2000 Ti,0.0,93.0,126.0,1965,1972
187,35612,GASOLINE,2000 Ti,0.0,101.0,137.0,1967,1970
187,6406,GASOLINE,2000 Ti / Tilux,0.0,88.0,120.0,1966,1972
187,6405,GASOLINE,2000 Tii,0.0,96.0,131.0,1969,1972
1640,6396,GASOLINE,1.6,0.0,77.0,105.0,1967,1969
1641,6407,GASOLINE,2.6,0.0,81.0,110.0,1958,1961
1641,6408,GASOLINE,2600,0.0,81.0,110.0,1961,1964
1641,6409,GASOLINE,3.2,0.0,88.0,120.0,1958,1961
1641,6410,GASOLINE,3.2 Super,0.0,103.0,140.0,1958,1961
